ge;cst;tnp;twp;iap;esp;arr;ms;ls;as;fmi;fs;fq;mq;fo;mo;nf;sh;ss;me;tt;atd
F;OBC;Good;Good;Vg;Good;Y;Unmarried;V;Paid;Medium;Average;Um;Um;Others;Housewife;Large;Average;Private;Eng;Small;Good
M;G;Good;Good;Good;Good;Y;Unmarried;T;Paid;High;Average;Pg;Degree;Service;Housewife;Large;Poor;Private;Eng;Average;Average
F;OBC;Vg;Vg;Good;Good;Y;Unmarried;V;Free;Am;Average;12;10;Others;Housewife;Small;Average;Private;Asm;Average;Average
F;OBC;Good;Good;Good;Good;N;Unmarried;T;Paid;Vh;Average;12;Um;Service;Housewife;Large;Poor;Govt;Asm;Small;Good
F;G;Good;Good;Vg;Good;N;Unmarried;V;Paid;Medium;Small;10;10;Business;Housewife;Average;Poor;Govt;Asm;Small;Average
F;OBC;Good;Good;Vg;Good;N;Unmarried;V;Free;High;Small;Il;Um;Business;Housewife;Average;Average;Govt;Asm;Small;Good
M;G;Good;Good;Good;Good;N;Unmarried;V;Paid;Low;Average;Um;Um;Farmer;Housewife;Average;Average;Private;Eng;Small;Average
M;G;Good;Pass;Pass;Pass;N;Unmarried;V;Paid;Medium;Small;Il;10;Business;Housewife;Large;Poor;Govt;Asm;Small;Poor
F;OBC;Pass;Good;Pass;Good;Y;Unmarried;V;Free;Medium;Average;Um;Um;Business;Housewife;Large;Poor;Govt;Hin;Small;Average
F;OBC;Good;Vg;Good;Good;N;Unmarried;T;Free;Medium;Average;10;Il;Business;Housewife;Large;Poor;Govt;Hin;Small;Average
M;OBC;Best;Vg;Vg;Good;N;Unmarried;T;Free;Medium;Small;10;Um;Business;Housewife;Large;Poor;Private;Eng;Large;Average
M;OBC;Best;Vg;Good;Vg;N;Unmarried;V;Free;Low;Small;Um;Um;Farmer;Housewife;Large;Average;Private;Eng;Small;Average
M;G;Vg;Vg;Vg;Vg;N;Unmarried;T;Paid;Am;Small;Degree;12;Business;Service;Small;Good;Private;Eng;Small;Good
M;OBC;Vg;Vg;Vg;Vg;Y;Unmarried;V;Paid;Am;Small;10;Um;Business;Housewife;Large;Average;Private;Eng;Small;Good
M;OBC;Vg;Vg;Vg;Vg;N;Unmarried;T;Paid;Medium;Small;Degree;10;Others;Housewife;Large;Average;Govt;Ben;Small;Good
M;G;Vg;Good;Good;Vg;Y;Unmarried;V;Free;Medium;Small;Um;Um;Others;Housewife;Large;Average;Private;Eng;Average;Good
M;OBC;Good;Good;Good;Best;N;Unmarried;T;Paid;Medium;Small;Um;Um;Service;Housewife;Small;Average;Private;Eng;Small;Good
M;OBC;Vg;Best;Best;Best;N;Unmarried;V;Paid;Am;Small;10;Um;Others;Housewife;Small;Average;Private;Eng;Average;Good
M;OBC;Best;Vg;Vg;Vg;Y;Unmarried;V;Paid;Am;Small;12;Um;Business;Housewife;Large;Poor;Govt;Eng;Average;Average
M;OBC;Vg;Vg;Vg;Vg;N;Unmarried;V;Paid;Medium;Small;Il;Um;Others;Housewife;Large;Average;Private;Asm;Average;Good
M;G;Vg;Vg;Good;Good;N;Unmarried;T;Free;Medium;Small;10;12;Others;Housewife;Large;Good;Govt;Asm;Small;Good
F;OBC;Good;Vg;Pass;Pass;Y;Unmarried;V;Free;Medium;Small;12;10;Others;Housewife;Large;Average;Govt;Asm;Average;Good
M;G;Best;Best;Best;Best;N;Unmarried;T;Paid;Am;Small;12;Um;Service;Housewife;Large;Average;Private;Eng;Small;Average
M;G;Vg;Best;Best;Best;N;Unmarried;T;Paid;Vh;Small;Degree;Degree;Service;Housewife;Large;Good;Private;Eng;Average;Good
F;G;Best;Vg;Best;Best;N;Unmarried;V;Free;Medium;Average;Degree;10;Business;Housewife;Average;Good;Private;Eng;Small;Good
M;G;Good;Good;Good;Good;N;Unmarried;V;Free;Low;Small;Um;Um;Farmer;Housewife;Large;Good;Govt;Asm;Small;Average
F;OBC;Vg;Vg;Vg;Vg;N;Unmarried;T;Free;Medium;Average;10;10;Others;Housewife;Large;Average;Govt;Hin;Small;Average
F;OBC;Good;Vg;Vg;Vg;N;Unmarried;V;Free;Low;Small;Um;Il;Business;Housewife;Small;Average;Private;Eng;Average;Good
F;G;Best;Vg;Best;Best;N;Unmarried;T;Paid;Medium;Small;Degree;12;Business;Housewife;Small;Good;Govt;Eng;Small;Good
F;SC;Good;Good;Vg;Vg;N;Unmarried;V;Free;Medium;Small;Degree;Degree;Business;Housewife;Average;Good;Private;Eng;Average;Average
F;MOBC;Vg;Vg;Vg;Vg;N;Unmarried;V;Free;Medium;Average;Um;Um;Others;Housewife;Small;Good;Govt;Asm;Small;Good
F;G;Vg;Vg;Best;Best;N;Unmarried;T;Paid;Medium;Small;12;10;Service;Housewife;Average;Good;Govt;Eng;Small;Good
F;SC;Vg;Vg;Vg;Vg;N;Unmarried;V;Paid;Medium;Small;Pg;Pg;Retired;Service;Small;Good;Govt;Asm;Small;Good
F;OBC;Best;Best;Vg;Vg;N;Unmarried;T;Free;Low;Large;12;Il;Business;Housewife;Small;Good;Private;Eng;Small;Average
F;ST;Good;Vg;Vg;Good;Y;Unmarried;V;Paid;Am;Average;Um;Um;Farmer;Housewife;Large;Good;Private;Eng;Small;Good
F;OBC;Best;Vg;Best;Vg;N;Unmarried;T;Paid;Am;Small;Degree;10;Business;Service;Large;Good;Govt;Asm;Small;Average
F;OBC;Vg;Vg;Vg;Good;Y;Unmarried;T;Free;Am;Small;Pg;12;Business;Service;Large;Good;Private;Asm;Small;Good
F;OBC;Vg;Vg;Vg;Vg;N;Unmarried;V;Paid;High;Average;12;Um;Service;Housewife;Large;Good;Private;Eng;Small;Good
M;OBC;Good;Good;Good;Good;N;Unmarried;T;Paid;High;Average;Um;Um;Business;Housewife;Large;Poor;Private;Eng;Small;Poor
M;G;Good;Vg;Vg;Vg;Y;Unmarried;T;Paid;Low;Small;12;10;Others;Housewife;Large;Poor;Govt;Eng;Small;Average
M;OBC;Pass;Pass;Vg;Good;Y;Unmarried;T;Paid;Medium;Small;Um;12;Others;Housewife;Average;Poor;Private;Eng;Small;Poor
M;G;Good;Good;Vg;Vg;N;Unmarried;T;Paid;Medium;Small;Um;Um;Others;Housewife;Large;Poor;Private;Eng;Small;Good
M;G;Good;Good;Vg;Good;N;Unmarried;T;Paid;Vh;Small;12;10;Business;Housewife;Average;Average;Govt;Eng;Small;Poor
M;OBC;Good;Good;Vg;Vg;N;Unmarried;V;Paid;Am;Small;Um;Um;Others;Others;Large;Average;Govt;Hin;Small;Good
M;G;Pass;Good;Good;Good;N;Unmarried;T;Paid;Am;Small;Um;Um;Business;Housewife;Large;Poor;Govt;Asm;Small;Average
M;ST;Vg;Vg;Best;Vg;N;Unmarried;V;Paid;Am;Average;Degree;12;Others;Housewife;Average;Good;Govt;Eng;Small;Good
M;G;Vg;Vg;Vg;Vg;Y;Unmarried;V;Free;Am;Small;Um;Um;Business;Housewife;Large;Good;Private;Eng;Small;Average
M;SC;Best;Vg;Vg;Vg;N;Unmarried;V;Paid;High;Small;10;Il;Service;Housewife;Average;Good;Govt;Eng;Small;Poor
M;OBC;Good;Good;Good;Good;Y;Unmarried;V;Free;Medium;Average;Il;Il;Service;Service;Average;Poor;Govt;Asm;Small;Poor
M;ST;Good;Pass;Good;Pass;Y;Unmarried;V;Free;Medium;Small;Um;Um;Farmer;Housewife;Large;Average;Private;Asm;Average;Average
M;OBC;Pass;Good;Good;Pass;Y;Unmarried;V;Free;Medium;Average;Um;Um;Farmer;Housewife;Small;Average;Govt;Asm;Small;Good
M;ST;Good;Vg;Good;Good;N;Unmarried;V;Free;High;Average;Il;Um;Farmer;Housewife;Average;Average;Govt;Eng;Large;Poor
M;ST;Pass;Good;Vg;Pass;N;Unmarried;V;Paid;High;Small;Il;Il;Others;Housewife;Average;Average;Private;Asm;Average;Poor
M;G;Pass;Good;Good;Good;N;Unmarried;T;Paid;High;Small;10;12;Others;Housewife;Large;Good;Private;Hin;Average;Poor
M;OBC;Pass;Good;Good;Good;N;Unmarried;V;Free;High;Small;Il;Il;Farmer;Housewife;Average;Good;Govt;Asm;Average;Average
F;G;Pass;Pass;Pass;Pass;Y;Unmarried;V;Paid;Am;Small;Pg;Um;Service;Housewife;Average;Average;Govt;Hin;Small;Poor
F;OBC;Pass;Pass;Good;Good;N;Unmarried;V;Paid;Low;Small;10;Il;Others;Housewife;Average;Average;Govt;Eng;Small;Average
F;OBC;Good;Good;Good;Pass;Y;Unmarried;T;Paid;Am;Small;Um;Um;Service;Housewife;Average;Poor;Govt;Eng;Small;Poor
F;ST;Good;Good;Good;Good;Y;Unmarried;T;Paid;Am;Small;Degree;Il;Service;Housewife;Small;Poor;Govt;Eng;Small;Poor
F;SC;Pass;Pass;Vg;Good;Y;Unmarried;V;Free;Medium;Average;Il;Il;Business;Housewife;Small;Poor;Govt;Asm;Average;Average
F;OBC;Pass;Good;Vg;Good;Y;Unmarried;T;Free;Low;Small;10;10;Others;Housewife;Large;Good;Govt;Ben;Small;Average
F;G;Good;Pass;Good;Pass;N;Unmarried;V;Paid;Medium;Small;12;12;Service;Housewife;Small;Average;Private;Asm;Average;Poor
M;ST;Good;Good;Good;Good;N;Unmarried;T;Paid;High;Average;Um;Il;Service;Housewife;Large;Average;Govt;Eng;Small;Good
M;G;Pass;Good;Good;Good;N;Unmarried;V;Free;Low;Small;Um;Um;Others;Others;Large;Poor;Govt;Hin;Average;Poor
M;G;Vg;Vg;Vg;Vg;N;Unmarried;T;Paid;Am;Small;12;Il;Service;Housewife;Average;Poor;Govt;Eng;Small;Average
F;ST;Good;Good;Good;Pass;N;Unmarried;V;Paid;Am;Average;Um;Il;Service;Housewife;Average;Poor;Govt;Eng;Small;Average
F;ST;Good;Good;Good;Good;N;Unmarried;V;Paid;Low;Average;Um;Il;Service;Housewife;Small;Poor;Govt;Eng;Small;Poor
F;G;Good;Good;Vg;Good;N;Unmarried;T;Free;Medium;Small;Um;Um;Others;Housewife;Small;Average;Private;Eng;Small;Average
F;OBC;Good;Good;Good;Good;N;Unmarried;T;Free;High;Small;10;10;Business;Housewife;Large;Good;Govt;Eng;Small;Poor
F;OBC;Good;Good;Vg;Good;Y;Unmarried;V;Free;Am;Small;Il;Um;Business;Housewife;Small;Average;Govt;Eng;Large;Average
F;ST;Good;Good;Vg;Vg;Y;Unmarried;V;Paid;Medium;Small;Um;Il;Service;Housewife;Small;Poor;Govt;Eng;Small;Average
F;G;Good;Good;Good;Pass;Y;Unmarried;V;Paid;Am;Small;10;10;Business;Housewife;Small;Average;Govt;Eng;Small;Good
F;OBC;Good;Good;Vg;Good;N;Unmarried;V;Paid;Am;Small;Um;Um;Service;Housewife;Small;Average;Govt;Eng;Large;Good
M;ST;Vg;Good;Vg;Vg;N;Unmarried;V;Paid;Medium;Small;Il;Il;Farmer;Housewife;Small;Poor;Govt;Eng;Small;Average
M;MOBC;Good;Pass;Vg;Pass;N;Unmarried;V;Free;Medium;Average;Um;Il;Farmer;Service;Small;Average;Govt;Asm;Large;Average
M;G;Pass;Good;Vg;Pass;Y;Unmarried;V;Free;Medium;Small;Um;Um;Farmer;Housewife;Average;Average;Govt;Asm;Average;Good
M;G;Good;Pass;Good;Good;Y;Unmarried;V;Free;Medium;Small;Um;Um;Farmer;Housewife;Average;Average;Govt;Asm;Small;Average
M;OBC;Good;Pass;Vg;Pass;Y;Unmarried;V;Free;Low;Small;Um;Um;Service;Service;Large;Average;Govt;Asm;Average;Poor
M;G;Good;Pass;Vg;Pass;Y;Unmarried;V;Free;Medium;Small;Degree;12;Service;Housewife;Average;Average;Govt;Asm;Small;Poor
M;MOBC;Pass;Vg;Vg;Good;N;Unmarried;V;Free;Medium;Small;Il;Il;Service;Housewife;Large;Average;Private;Asm;Small;Average
M;OBC;Good;Pass;Good;Pass;Y;Unmarried;V;Free;Medium;Small;Il;Il;Others;Service;Average;Poor;Govt;Asm;Small;Poor
F;OBC;Pass;Good;Good;Good;N;Unmarried;V;Free;High;Small;Um;10;Service;Service;Average;Average;Govt;Asm;Small;Poor
M;OBC;Pass;Good;Good;Pass;Y;Unmarried;V;Free;Medium;Average;Um;Um;Farmer;Housewife;Average;Average;Govt;Asm;Average;Average
M;ST;Good;Good;Pass;Pass;Y;Unmarried;V;Free;Medium;Small;12;Um;Farmer;Housewife;Average;Average;Govt;Asm;Average;Poor
M;ST;Vg;Good;Vg;Pass;Y;Unmarried;V;Free;Low;Small;Um;Um;Farmer;Housewife;Small;Poor;Govt;Asm;Average;Poor
M;ST;Pass;Good;Good;Pass;Y;Unmarried;V;Paid;Medium;Small;12;Um;Retired;Housewife;Average;Average;Govt;Asm;Average;Poor
F;G;Good;Pass;Good;Pass;Y;Unmarried;T;Free;Medium;Small;Um;Um;Business;Housewife;Average;Average;Private;Asm;Average;Good
F;G;Pass;Pass;Pass;Pass;Y;Unmarried;T;Free;Low;Small;Il;Il;Others;Housewife;Average;Poor;Govt;Asm;Average;Average
F;G;Good;Good;Good;Good;N;Unmarried;T;Free;Medium;Average;Degree;12;Business;Housewife;Average;Good;Govt;Asm;Average;Average
M;G;Good;Good;Good;Good;N;Unmarried;V;Free;Low;Small;Degree;10;Farmer;Housewife;Average;Average;Govt;Asm;Average;Poor
M;G;Good;Best;Vg;Vg;N;Unmarried;V;Paid;High;Small;Degree;Degree;Others;Housewife;Average;Average;Govt;Asm;Large;Average
M;OBC;Pass;Vg;Good;Pass;Y;Unmarried;V;Free;Medium;Small;10;Um;Others;Housewife;Average;Average;Private;Asm;Average;Average
M;G;Vg;Vg;Vg;Vg;N;Unmarried;T;Paid;Am;Small;12;12;Service;Housewife;Average;Average;Govt;Asm;Small;Average
F;G;Good;Vg;Vg;Good;N;Unmarried;V;Free;Medium;Small;Il;Il;Farmer;Housewife;Small;Poor;Govt;Asm;Small;Good
M;OBC;Pass;Pass;Good;Pass;Y;Unmarried;V;Free;Medium;Average;Um;Um;Farmer;Housewife;Average;Average;Govt;Asm;Average;Poor
M;OBC;Good;Pass;Vg;Good;N;Unmarried;V;Free;Medium;Average;Il;10;Service;Housewife;Average;Poor;Govt;Asm;Small;Poor
M;OBC;Good;Good;Good;Good;Y;Unmarried;T;Paid;Am;Average;12;Um;Business;Housewife;Average;Good;Govt;Eng;Small;Average
M;OBC;Good;Good;Vg;Good;Y;Unmarried;V;Free;Medium;Average;Il;Il;Service;Housewife;Average;Average;Govt;Asm;Average;Poor
M;OBC;Pass;Good;Good;Pass;N;Unmarried;T;Free;Medium;Average;10;Um;Service;Housewife;Small;Average;Govt;Eng;Average;Good
M;G;Pass;Good;Good;Pass;Y;Unmarried;T;Free;Low;Small;Um;Il;Service;Housewife;Small;Average;Govt;Asm;Small;Poor
M;MOBC;Vg;Vg;Good;Good;N;Unmarried;V;Free;High;Small;10;Um;Farmer;Housewife;Average;Poor;Govt;Asm;Small;Average
F;OBC;Good;Good;Vg;Good;N;Unmarried;V;Free;Am;Large;Il;Il;Farmer;Housewife;Small;Average;Govt;Asm;Large;Good
M;ST;Pass;Pass;Good;Pass;Y;Unmarried;V;Free;Low;Average;Um;Um;Service;Housewife;Average;Average;Govt;Asm;Large;Average
M;G;Pass;Good;Good;Pass;Y;Unmarried;V;Free;Medium;Small;Um;Um;Business;Housewife;Average;Average;Govt;Asm;Small;Average
