kode_provinsi,nama_provinsi,indikator_upaya_kesehatan,tahun,nilai
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2012,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2000,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2001,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2002,51.5
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2003,63.72
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2004,23.88
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2005,50
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2006,85.76
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2007,85.76
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2008,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2009,37.97
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2010,37.97
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2011,37.97
11,"Prov. Nanggroe Aceh Darussalam","Persen Desa UCI",2012,37.97
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2000,16.76
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2001,15.61
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2002,7.7
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2003,14.33
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2004,16.7
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2005,7.7
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2006,10.7
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2007,21.6
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2008,13.2
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2009,6.66
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2010,6.66
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2011,6.66
11,"Prov. Nanggroe Aceh Darussalam","Persen Drop out imunisasi",2012,6.66
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2000,72.55
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2001,72.07
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2002,68.61
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2003,66.99
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2004,66.99
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2005,74.4
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2006,82.3
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2007,75.6
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2008,70.1
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2009,79.2
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2010,79.2
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2011,79.2
11,"Prov. Nanggroe Aceh Darussalam","Persen Imunisasi Campak",2012,79.2
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2000,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2001,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2002,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2003,55.32
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2004,70.31
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2005,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2006,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2007,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2008,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2009,67
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2010,67
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2011,67
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Bayi",2012,67
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2000,89.5
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2001,87.55
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2002,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2003,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2004,77.22
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2005,84.29
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2006,86.23
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2007,87.28
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2008,86.03
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2009,90.36
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2010,90.36
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2011,90.36
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K1",2012,90.36
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2000,74.58
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2001,75.07
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2002,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2003,70.15
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2004,69.25
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2005,73.04
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2006,76.15
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2007,72.02
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2008,78.57
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2009,81.8
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2010,81.8
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2011,81.8
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan K4",2012,81.8
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2000,72.81
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2001,72.11
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2002,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2003,73.71
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2004,73.77
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2005,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2006,72.84
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2007,52.15
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2008,
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2009,78.7
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2010,78.7
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2011,78.7
11,"Prov. Nanggroe Aceh Darussalam","Persen Kunjungan Neonatus KN1",2012,78.7
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2000,49.06
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2001,17.1
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2002,38.75
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2003,33.01
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2004,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2005,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2006,22.87
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2007,51.36
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2008,53.47
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2009,64.95
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2010,64.95
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2011,64.95
11,"Prov. Nanggroe Aceh Darussalam","Persen Pemberian Fe3 Ibu Hamil",2012,64.95
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2000,64.92
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2001,66.15
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2002,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2003,70.57
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2004,58.31
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2005,62.19
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2006,73.43
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2007,76.46
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2008,84.66
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2009,85.25
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2010,85.25
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2011,85.25
11,"Prov. Nanggroe Aceh Darussalam","Persen Salinakes",2012,85.25
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2000,0
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2001,61404
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2002,63411
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2003,8427
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2004,0
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2005,83069
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2006,114841
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2007,92165
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2008,132483
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2009,24.15
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2010,24.15
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2011,24.15
11,"Prov. Nanggroe Aceh Darussalam","PersentasePeserta KB Baru",2012,24.15
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2000,0
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2001,.54
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2002,0
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2003,0
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2004,0
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2005,0
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2006,0
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2007,11.5
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2008,0
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2009,0
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2010,0
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2011,0
11,"Prov. Nanggroe Aceh Darussalam","Prevalensi BBLR per 100",2012,0
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2000,0
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2001,0
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2002,3315918
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2003,3320617
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2004,3441921
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2005,3734147
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2006,6690825
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2007,7947252
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2008,0
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2009,0
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2010,0
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2011,0
12,"Prov. Sumatera Utara","Jumlah Peserta JPK",2012,0
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2000,0
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2001,.96
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2002,12.34
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2003,12.76
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2004,0
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2005,.06
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2006,0
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2007,8.4
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2008,0
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2009,0
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2010,0
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2011,0
12,"Prov. Sumatera Utara","Persen Balita Gizi Buruk",2012,0
12,"Prov. Sumatera Utara","Persen Desa UCI",2000,0
12,"Prov. Sumatera Utara","Persen Desa UCI",2001,0
12,"Prov. Sumatera Utara","Persen Desa UCI",2002,81.67
12,"Prov. Sumatera Utara","Persen Desa UCI",2003,81.48
12,"Prov. Sumatera Utara","Persen Desa UCI",2004,80.47
12,"Prov. Sumatera Utara","Persen Desa UCI",2005,79.01
12,"Prov. Sumatera Utara","Persen Desa UCI",2006,83.23
12,"Prov. Sumatera Utara","Persen Desa UCI",2007,72.6
12,"Prov. Sumatera Utara","Persen Desa UCI",2008,70.67
12,"Prov. Sumatera Utara","Persen Desa UCI",2009,69.42
12,"Prov. Sumatera Utara","Persen Desa UCI",2010,69.42
12,"Prov. Sumatera Utara","Persen Desa UCI",2011,69.42
12,"Prov. Sumatera Utara","Persen Desa UCI",2012,69.42
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2000,5.8
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2001,6.56
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2002,6.6
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2003,8.09
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2004,7.6
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2005,0
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2006,0
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2007,1.3
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2008,4.4
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2009,5.33
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2010,5.33
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2011,5.33
12,"Prov. Sumatera Utara","Persen Drop out imunisasi",2012,5.33
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2000,93.51
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2001,90.47
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2002,88.86
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2003,86.18
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2004,91.97
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2005,86.1
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2006,95.8
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2007,92.8
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2008,90.7
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2009,88.26
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2010,88.26
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2011,88.26
12,"Prov. Sumatera Utara","Persen Imunisasi Campak",2012,88.26
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2000,0
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2001,0
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2002,0
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2003,69.5
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2004,76.14
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2005,0
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2006,0
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2007,0
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2008,0
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2009,81
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2010,81
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2011,81
12,"Prov. Sumatera Utara","Persen Kunjungan Bayi",2012,81
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2000,79.9
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2001,87.78
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2002,89.25
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2003,0
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2004,71.53
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2005,84.12
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2006,87.29
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2007,90.29
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2008,97.18
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2009,94.05
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2010,94.05
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2011,94.05
12,"Prov. Sumatera Utara","Persen Kunjungan K1",2012,94.05
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2000,69.95
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2001,64.69
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2002,87.25
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2003,70.72
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2004,63.64
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2005,78.36
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2006,82.51
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2007,83.8
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2008,94.53
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2009,90.29
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2010,90.29
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2011,90.29
12,"Prov. Sumatera Utara","Persen Kunjungan K4",2012,90.29
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2000,64.82
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2001,68.66
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2002,89.77
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2003,66.96
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2004,80.96
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2005,74.44
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2006,78.56
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2007,81.66
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2008,
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2009,91.4
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2010,91.4
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2011,91.4
12,"Prov. Sumatera Utara","Persen Kunjungan Neonatus KN1",2012,91.4
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2000,0
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2001,41.1
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2002,41.1
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2003,41.1
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2004,64.68
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2005,78.35
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2006,48.87
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2007,81.7
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2008,54.78
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2009,60.2
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2010,60.2
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2011,60.2
12,"Prov. Sumatera Utara","Persen Pemberian Fe3 Ibu Hamil",2012,60.2
12,"Prov. Sumatera Utara","Persen Salinakes",2000,64.82
12,"Prov. Sumatera Utara","Persen Salinakes",2001,51.74
12,"Prov. Sumatera Utara","Persen Salinakes",2002,81.93
12,"Prov. Sumatera Utara","Persen Salinakes",2003,68.65
12,"Prov. Sumatera Utara","Persen Salinakes",2004,65.55
12,"Prov. Sumatera Utara","Persen Salinakes",2005,74.03
12,"Prov. Sumatera Utara","Persen Salinakes",2006,76.86
12,"Prov. Sumatera Utara","Persen Salinakes",2007,77.99
12,"Prov. Sumatera Utara","Persen Salinakes",2008,85.12
12,"Prov. Sumatera Utara","Persen Salinakes",2009,88.26
12,"Prov. Sumatera Utara","Persen Salinakes",2010,88.26
12,"Prov. Sumatera Utara","Persen Salinakes",2011,88.26
12,"Prov. Sumatera Utara","Persen Salinakes",2012,88.26
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2000,0
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2001,184609
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2002,205090
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2003,16515
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2004,0
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2005,193904
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2006,228696
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2007,238062
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2008,278858
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2009,17.75
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2010,17.75
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2011,17.75
12,"Prov. Sumatera Utara","PersentasePeserta KB Baru",2012,17.75
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2000,6.97
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2001,6.9
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2002,21.48
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2003,0
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2004,0
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2005,0
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2006,0
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2007,8.5
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2008,0
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2009,0
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2010,0
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2011,0
12,"Prov. Sumatera Utara","Prevalensi BBLR per 100",2012,0
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2000,0
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2001,0
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2002,1211530
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2003,1583697
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2004,847975
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2005,1560244
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2006,1696976
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2007,1825729
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2008,0
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2009,0
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2010,0
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2011,0
13,"Prov. Sumatera Barat","Jumlah Peserta JPK",2012,0
13,"Prov. Sumatera Barat","Persen Balita Gizi Buruk",2000,0
13,"Prov. Sumatera Barat","Persen Balita Gizi Buruk",2001,.49
